Ship_Mode,Segment,State,Region,Category,Sub_Category,Sales,Discount,Profit,Discount_%
Standard Class,Consumer,New Mexico,West,Furniture,Furnishings,545.85,0,114.6285,0%
Second Class,Consumer,Colorado,West,Furniture,Tables,145.98,0.5,-99.2664,0.5-0.8%
Second Class,Consumer,Colorado,West,Office Supplies,Paper,35.808,0.2,12.5328,0.1-0.4%
Standard Class,Consumer,Florida,South,Furniture,Furnishings,7.904,0.2,2.1736,0.1-0.4%
Standard Class,Consumer,New Jersey,East,Technology,Phones,345,0,86.25,0%
Standard Class,Consumer,New Jersey,East,Furniture,Tables,174.286,0.3,-19.9184,0.1-0.4%
Standard Class,Consumer,New Jersey,East,Office Supplies,Appliances,662.84,0,172.3384,0%
Standard Class,Consumer,New Jersey,East,Technology,Accessories,95.1,0,30.432,0%
Standard Class,Consumer,New Jersey,East,Office Supplies,Envelopes,26.88,0,12.9024,0%
Standard Class,Consumer,New Jersey,East,Technology,Phones,257.98,0,74.8142,0%
Standard Class,Consumer,California,West,Office Supplies,Envelopes,17.48,0,8.2156,0%
Standard Class,Consumer,Pennsylvania,East,Furniture,Chairs,492.835,0.3,-14.081,0.1-0.4%
Second Class,Consumer,South Carolina,South,Office Supplies,Storage,269.49,0,5.3898,0%
Standard Class,Home Office,California,West,Office Supplies,Binders,29.12,0.2,9.828,0.1-0.4%
Second Class,Consumer,New York,East,Office Supplies,Labels,18.75,0,9,0%
Second Class,Consumer,New York,East,Technology,Phones,119.7,0,31.122,0%
Second Class,Consumer,New York,East,Office Supplies,Binders,9.144,0.2,3.0861,0.1-0.4%
Second Class,Consumer,New York,East,Technology,Accessories,57.06,0,18.2592,0%
Second Class,Consumer,New York,East,Technology,Accessories,71.6,0,13.604,0%
Second Class,Consumer,New York,East,Office Supplies,Storage,107.44,0,27.9344,0%
Second Class,Consumer,New York,East,Office Supplies,Labels,7.31,0,3.4357,0%
Second Class,Consumer,New York,East,Office Supplies,Art,59.1,0,22.458,0%
Second Class,Consumer,New York,East,Office Supplies,Storage,46.53,0,12.0978,0%
Standard Class,Consumer,New Jersey,East,Office Supplies,Appliances,97.84,0,25.4384,0%
Second Class,Consumer,Washington,West,Office Supplies,Paper,29.97,0,13.4865,0%
Second Class,Consumer,Washington,West,Office Supplies,Binders,98.352,0.2,34.4232,0.1-0.4%
Standard Class,Consumer,New York,East,Office Supplies,Binders,83.92,0.2,29.372,0.1-0.4%
Standard Class,Consumer,New York,East,Office Supplies,Binders,14.624,0.2,5.1184,0.1-0.4%
Standard Class,Consumer,New York,East,Technology,Phones,136.99,0,36.9873,0%
Standard Class,Consumer,New York,East,Office Supplies,Labels,3.15,0,1.512,0%
Standard Class,Consumer,Virginia,South,Office Supplies,Paper,9.11,0,4.0995,0%
Standard Class,Consumer,Virginia,South,Office Supplies,Storage,571.44,0,165.7176,0%
Standard Class,Consumer,Virginia,South,Office Supplies,Paper,32.4,0,15.552,0%
Standard Class,Consumer,Virginia,South,Office Supplies,Storage,16.91,0,4.5657,0%
Standard Class,Consumer,North Carolina,South,Furniture,Furnishings,14.272,0.2,4.2816,0.1-0.4%
Standard Class,Consumer,North Carolina,South,Furniture,Bookcases,451.136,0.2,-67.6704,0.1-0.4%
Standard Class,Consumer,North Carolina,South,Office Supplies,Appliances,64.864,0.2,6.4864,0.1-0.4%
First Class,Consumer,California,West,Furniture,Chairs,217.584,0.2,-29.9178,0.1-0.4%
First Class,Consumer,California,West,Technology,Accessories,82.95,0,29.0325,0%
First Class,Consumer,California,West,Office Supplies,Labels,87.71,0,41.2237,0%
First Class,Consumer,California,West,Office Supplies,Appliances,1101.48,0,429.5772,0%
Second Class,Corporate,California,West,Furniture,Tables,1322.352,0.2,-99.1764,0.1-0.4%
Standard Class,Consumer,New York,East,Office Supplies,Art,5.46,0,1.4742,0%
Standard Class,Consumer,Texas,Central,Office Supplies,Supplies,11.184,0.2,0.8388,0.1-0.4%
Standard Class,Consumer,Texas,Central,Office Supplies,Storage,153.584,0.2,-32.6366,0.1-0.4%
Standard Class,Consumer,Washington,West,Office Supplies,Storage,1003.62,0,0,0%
Standard Class,Home Office,Washington,West,Technology,Phones,35.168,0.2,11.4296,0.1-0.4%
Standard Class,Home Office,Washington,West,Furniture,Tables,1137.75,0,250.305,0%
Standard Class,Home Office,Washington,West,Office Supplies,Binders,99.68,0.2,32.396,0.1-0.4%
Standard Class,Home Office,Washington,West,Office Supplies,Art,5.56,0,1.4456,0%
Second Class,Corporate,Delaware,East,Office Supplies,Storage,85.52,0,22.2352,0%
Second Class,Corporate,Delaware,East,Office Supplies,Art,9.84,0,2.6568,0%
Second Class,Corporate,Delaware,East,Office Supplies,Paper,20.04,0,9.6192,0%
Second Class,Consumer,New York,East,Technology,Phones,631.96,0,303.3408,0%
Second Class,Consumer,New York,East,Office Supplies,Paper,23.92,0,10.764,0%
Second Class,Consumer,California,West,Office Supplies,Paper,90.24,0,41.5104,0%
Standard Class,Consumer,New York,East,Technology,Phones,4548.81,0,1228.1787,0%
Second Class,Consumer,Texas,Central,Furniture,Tables,300.93,0.3,-34.392,0.1-0.4%
Second Class,Consumer,Texas,Central,Technology,Phones,719.96,0.2,53.997,0.1-0.4%
Standard Class,Consumer,Indiana,Central,Furniture,Chairs,647.84,0,32.392,0%
Standard Class,Home Office,California,West,Office Supplies,Storage,64.17,0,18.6093,0%
Standard Class,Home Office,California,West,Office Supplies,Envelopes,124.46,0,58.4962,0%
Standard Class,Corporate,California,West,Office Supplies,Binders,9.584,0.2,3.3544,0.1-0.4%
First Class,Consumer,Florida,South,Office Supplies,Envelopes,37.608,0.2,12.6927,0.1-0.4%
First Class,Corporate,Illinois,Central,Office Supplies,Paper,12.224,0.2,4.4312,0.1-0.4%
First Class,Corporate,Illinois,Central,Office Supplies,Binders,2.304,0.8,-3.5712,0.5-0.8%
First Class,Corporate,Illinois,Central,Office Supplies,Binders,9.36,0.8,-16.38,0.5-0.8%
Standard Class,Consumer,California,West,Office Supplies,Labels,7.38,0,3.4686,0%
Second Class,Consumer,California,West,Office Supplies,Storage,53.72,0,15.0416,0%
Second Class,Consumer,California,West,Office Supplies,Supplies,8187.65,0,327.506,0%
Second Class,Consumer,California,West,Furniture,Furnishings,77.92,0,34.2848,0%
Same Day,Consumer,Texas,Central,Office Supplies,Appliances,32.784,0.8,-85.2384,0.5-0.8%
Standard Class,Corporate,California,West,Technology,Phones,196.776,0.2,14.7582,0.1-0.4%
Standard Class,Corporate,California,West,Technology,Accessories,479.94,0,52.7934,0%
Standard Class,Home Office,Oklahoma,Central,Office Supplies,Storage,1117.92,0,55.896,0%
First Class,Consumer,Louisiana,South,Technology,Accessories,106.5,0,41.535,0%
Standard Class,Home Office,Florida,South,Office Supplies,Binders,45.66,0.7,-33.484,0.5-0.8%
Standard Class,Corporate,Illinois,Central,Technology,Accessories,95.968,0.2,1.1996,0.1-0.4%
Standard Class,Corporate,Illinois,Central,Furniture,Chairs,47.992,0.3,-2.0568,0.1-0.4%
Standard Class,Consumer,Ohio,East,Office Supplies,Storage,264.32,0.2,19.824,0.1-0.4%
Standard Class,Consumer,Texas,Central,Office Supplies,Envelopes,604.656,0.2,204.0714,0.1-0.4%
Standard Class,Corporate,New Jersey,East,Furniture,Furnishings,129.93,0,12.993,0%
Standard Class,Home Office,Oklahoma,Central,Office Supplies,Labels,20.16,0,9.8784,0%
Standard Class,Home Office,Oklahoma,Central,Office Supplies,Labels,29.46,0,14.4354,0%
Standard Class,Home Office,Oklahoma,Central,Office Supplies,Appliances,868.59,0,251.8911,0%
Standard Class,Home Office,Oklahoma,Central,Office Supplies,Paper,12.96,0,6.2208,0%
Standard Class,Home Office,Oklahoma,Central,Technology,Phones,5.5,0,1.375,0%
Standard Class,Home Office,Oklahoma,Central,Office Supplies,Binders,121.6,0,55.936,0%
Standard Class,Consumer,Texas,Central,Office Supplies,Art,42.048,0.2,5.256,0.1-0.4%
Standard Class,Consumer,Texas,Central,Technology,Accessories,25.488,0.2,4.4604,0.1-0.4%
Standard Class,Consumer,Texas,Central,Office Supplies,Binders,6.9,0.8,-12.075,0.5-0.8%
Standard Class,Consumer,Texas,Central,Office Supplies,Binders,9.648,0.8,-16.884,0.5-0.8%
Standard Class,Consumer,Texas,Central,Office Supplies,Paper,7.968,0.2,2.8884,0.1-0.4%
Standard Class,Home Office,Florida,South,Office Supplies,Paper,10.368,0.2,3.6288,0.1-0.4%
Standard Class,Corporate,Arkansas,South,Office Supplies,Paper,114.2,0,52.532,0%
Standard Class,Corporate,Arkansas,South,Office Supplies,Binders,17.96,0,8.2616,0%
Standard Class,Corporate,Arkansas,South,Office Supplies,Fasteners,12.67,0,4.5612,0%
Standard Class,Corporate,Arkansas,South,Technology,Accessories,339.96,0,122.3856,0%
Second Class,Corporate,Pennsylvania,East,Office Supplies,Storage,1801.632,0.2,-337.806,0.1-0.4%
First Class,Corporate,California,West,Technology,Accessories,46.32,0,18.0648,0%
Second Class,Consumer,Ohio,East,Furniture,Chairs,181.986,0.3,-54.5958,0.1-0.4%
Second Class,Consumer,Ohio,East,Technology,Phones,431.976,0.4,-100.7944,0.1-0.4%
Second Class,Consumer,Ohio,East,Technology,Phones,155.37,0.4,-36.253,0.1-0.4%
Same Day,Corporate,California,West,Furniture,Chairs,1348.704,0.2,-219.1644,0.1-0.4%
Same Day,Corporate,California,West,Furniture,Chairs,700.152,0.2,78.7671,0.1-0.4%
Standard Class,Corporate,Arizona,West,Furniture,Furnishings,111.888,0.2,22.3776,0.1-0.4%
Second Class,Corporate,Pennsylvania,East,Office Supplies,Appliances,143.952,0.2,14.3952,0.1-0.4%
Standard Class,Home Office,Massachusetts,East,Furniture,Bookcases,173.94,0,13.9152,0%
Standard Class,Home Office,Massachusetts,East,Office Supplies,Labels,14.76,0,6.9372,0%
Standard Class,Consumer,California,West,Office Supplies,Storage,205.92,0,2.0592,0%
Standard Class,Consumer,California,West,Furniture,Bookcases,102.833,0.15,-6.049,0.1-0.4%
Standard Class,Consumer,Arizona,West,Office Supplies,Art,2.304,0.2,0.2592,0.1-0.4%
Standard Class,Consumer,Arizona,West,Technology,Phones,1879.96,0.2,211.4955,0.1-0.4%
Standard Class,Consumer,Arizona,West,Office Supplies,Paper,313.024,0.2,105.6456,0.1-0.4%
Standard Class,Consumer,Arizona,West,Office Supplies,Labels,5.04,0.2,1.764,0.1-0.4%
Standard Class,Consumer,Kentucky,South,Furniture,Furnishings,821.88,0,213.6888,0%
Standard Class,Consumer,Kentucky,South,Office Supplies,Binders,21.96,0,10.7604,0%
Standard Class,Home Office,South Carolina,South,Office Supplies,Paper,25.92,0,12.4416,0%
Standard Class,Consumer,Florida,South,Technology,Phones,705.544,0.2,70.5544,0.1-0.4%
Standard Class,Consumer,New York,East,Technology,Accessories,50,0,12,0%
Standard Class,Corporate,Texas,Central,Furniture,Furnishings,51.712,0.6,-32.32,0.5-0.8%
Standard Class,Corporate,Florida,South,Office Supplies,Appliances,6.992,0.2,0.5244,0.1-0.4%
Standard Class,Consumer,Utah,West,Furniture,Bookcases,1406.86,0,140.686,0%
Standard Class,Consumer,Utah,West,Office Supplies,Labels,15.75,0,7.56,0%
Standard Class,Consumer,Utah,West,Office Supplies,Storage,323.1,0,61.389,0%
Standard Class,Consumer,Tennessee,South,Office Supplies,Labels,9.216,0.2,3.3408,0.1-0.4%
Standard Class,Consumer,Tennessee,South,Office Supplies,Paper,10.368,0.2,3.6288,0.1-0.4%
Second Class,Corporate,New York,East,Technology,Accessories,15.02,0,2.7036,0%
Second Class,Corporate,New York,East,Office Supplies,Storage,33.82,0,9.1314,0%
First Class,Consumer,Kentucky,South,Technology,Accessories,71,0,27.69,0%
Second Class,Consumer,Washington,West,Office Supplies,Binders,25.12,0.2,7.85,0.1-0.4%
Second Class,Consumer,Washington,West,Furniture,Tables,2665.62,0,239.9058,0%
Standard Class,Corporate,New York,East,Office Supplies,Storage,478.08,0,133.8624,0%
Same Day,Corporate,Ohio,East,Technology,Phones,164.388,0.4,-35.6174,0.1-0.4%
Same Day,Corporate,Ohio,East,Office Supplies,Art,13.248,0.2,3.6432,0.1-0.4%
Standard Class,Home Office,Illinois,Central,Office Supplies,Art,2.912,0.2,0.91,0.1-0.4%
Second Class,Consumer,Texas,Central,Technology,Accessories,1399.944,0.2,52.4979,0.1-0.4%
Standard Class,Home Office,Indiana,Central,Furniture,Furnishings,526.45,0,31.587,0%
Standard Class,Corporate,Georgia,South,Office Supplies,Envelopes,16.23,0,7.9527,0%
Standard Class,Corporate,Georgia,South,Office Supplies,Binders,319.9,0,156.751,0%
Standard Class,Corporate,Georgia,South,Office Supplies,Envelopes,11.36,0,5.3392,0%
Standard Class,Corporate,Georgia,South,Office Supplies,Appliances,675.12,0,290.3016,0%
Standard Class,Home Office,Virginia,South,Furniture,Furnishings,62.82,0,30.7818,0%
Standard Class,Home Office,Virginia,South,Office Supplies,Storage,489.92,0,0,0%
Standard Class,Home Office,Virginia,South,Office Supplies,Paper,19.44,0,9.3312,0%
Standard Class,Home Office,Virginia,South,Office Supplies,Paper,16.68,0,8.34,0%
Standard Class,Home Office,Virginia,South,Technology,Phones,155.35,0,0,0%
Standard Class,Home Office,Virginia,South,Furniture,Furnishings,12.42,0,4.4712,0%
Standard Class,Home Office,Virginia,South,Technology,Phones,187.98,0,52.6344,0%
Standard Class,Corporate,Texas,Central,Office Supplies,Envelopes,6.608,0.2,2.1476,0.1-0.4%
Standard Class,Consumer,New York,East,Office Supplies,Storage,248.57,0,67.1139,0%
Standard Class,Consumer,New York,East,Furniture,Furnishings,22.23,0,9.7812,0%
Standard Class,Home Office,California,West,Office Supplies,Storage,5.98,0,1.0166,0%
Standard Class,Home Office,California,West,Technology,Phones,246.168,0.2,21.5397,0.1-0.4%
Standard Class,Consumer,Illinois,Central,Furniture,Furnishings,14.136,0.6,-7.7748,0.5-0.8%
Standard Class,Consumer,Illinois,Central,Furniture,Tables,601.47,0.5,-300.735,0.5-0.8%
Second Class,Corporate,South Carolina,South,Technology,Phones,79.1,0,39.55,0%
Second Class,Corporate,South Carolina,South,Office Supplies,Binders,327.84,0,157.3632,0%
Standard Class,Corporate,Indiana,Central,Office Supplies,Envelopes,180.96,0,81.432,0%
Standard Class,Corporate,Indiana,Central,Office Supplies,Binders,914.97,0,411.7365,0%
Standard Class,Corporate,Indiana,Central,Technology,Phones,587.97,0,158.7519,0%
Standard Class,Corporate,Indiana,Central,Office Supplies,Storage,530.34,0,95.4612,0%
Standard Class,Corporate,Indiana,Central,Office Supplies,Paper,14.94,0,7.3206,0%
Standard Class,Consumer,New York,East,Office Supplies,Appliances,121.94,0,35.3626,0%
Standard Class,Consumer,New York,East,Office Supplies,Supplies,122.71,0,36.813,0%
Same Day,Consumer,New York,East,Office Supplies,Paper,14.94,0,7.0218,0%
Same Day,Consumer,New York,East,Technology,Machines,1349.85,0,364.4595,0%
Same Day,Consumer,New York,East,Furniture,Bookcases,136.784,0.2,5.1294,0.1-0.4%
Same Day,Consumer,New York,East,Furniture,Furnishings,61.12,0,20.7808,0%
Standard Class,Corporate,Florida,South,Office Supplies,Binders,1.167,0.7,-0.8558,0.5-0.8%
Standard Class,Home Office,California,West,Office Supplies,Art,16.99,0,4.9271,0%
Standard Class,Corporate,Texas,Central,Technology,Accessories,24.672,0.2,0,0.1-0.4%
Standard Class,Corporate,Texas,Central,Office Supplies,Labels,2.52,0.2,0.882,0.1-0.4%
Standard Class,Corporate,Texas,Central,Furniture,Tables,1218.735,0.3,-121.8735,0.1-0.4%
Standard Class,Corporate,Texas,Central,Office Supplies,Labels,5.904,0.2,1.9926,0.1-0.4%
Standard Class,Corporate,Texas,Central,Office Supplies,Paper,15.696,0.2,5.1012,0.1-0.4%
Standard Class,Corporate,Texas,Central,Furniture,Furnishings,6.096,0.6,-3.9624,0.5-0.8%
Standard Class,Corporate,California,West,Furniture,Chairs,41.568,0.2,2.598,0.1-0.4%
Standard Class,Corporate,California,West,Furniture,Chairs,230.28,0.2,23.028,0.1-0.4%
Standard Class,Corporate,California,West,Office Supplies,Binders,18.288,0.2,5.715,0.1-0.4%
Standard Class,Consumer,California,West,Office Supplies,Labels,5.78,0,2.7166,0%
Standard Class,Consumer,California,West,Office Supplies,Binders,121.68,0.2,38.025,0.1-0.4%
Standard Class,Corporate,New Mexico,West,Office Supplies,Art,4.17,0,1.0842,0%
Standard Class,Corporate,New Mexico,West,Technology,Phones,67.04,0.2,6.704,0.1-0.4%
Standard Class,Corporate,New Mexico,West,Office Supplies,Storage,37.32,0,10.4496,0%
Standard Class,Corporate,New Mexico,West,Office Supplies,Labels,18.45,0,8.6715,0%
Second Class,Corporate,Missouri,Central,Office Supplies,Paper,25.92,0,12.4416,0%
First Class,Home Office,New York,East,Technology,Copiers,11199.968,0.2,3919.9888,0.1-0.4%
First Class,Home Office,New York,East,Technology,Phones,2399.6,0,647.892,0%
First Class,Home Office,New York,East,Office Supplies,Envelopes,63.9,0,28.755,0%
First Class,Home Office,New York,East,Technology,Phones,52.99,0,0.5299,0%
First Class,Corporate,Ohio,East,Technology,Accessories,60.864,0.2,9.1296,0.1-0.4%
First Class,Corporate,Ohio,East,Technology,Machines,652.995,0.7,-935.9595,0.5-0.8%
First Class,Corporate,Ohio,East,Office Supplies,Binders,11.22,0.7,-7.48,0.5-0.8%
Standard Class,Consumer,Oklahoma,Central,Office Supplies,Paper,14.94,0,7.0218,0%
Standard Class,Consumer,Washington,West,Furniture,Furnishings,39.96,0,17.1828,0%
Standard Class,Consumer,Washington,West,Furniture,Chairs,42.624,0.2,4.2624,0.1-0.4%
Standard Class,Consumer,Washington,West,Furniture,Chairs,220.96,0.2,24.858,0.1-0.4%
Second Class,Corporate,North Carolina,South,Furniture,Furnishings,4.928,0.2,0.7392,0.1-0.4%
Second Class,Corporate,North Carolina,South,Office Supplies,Binders,7.23,0.7,-5.784,0.5-0.8%
Standard Class,Corporate,California,West,Office Supplies,Storage,323.1,0,61.389,0%
Standard Class,Consumer,New York,East,Office Supplies,Paper,19.04,0,9.3296,0%
Standard Class,Consumer,New York,East,Office Supplies,Binders,13.128,0.2,4.2666,0.1-0.4%
Standard Class,Consumer,New York,East,Office Supplies,Art,64.14,0,16.6764,0%
Standard Class,Consumer,New York,East,Furniture,Chairs,858.24,0.1,143.04,0.1-0.4%
Standard Class,Consumer,Arkansas,South,Technology,Accessories,29.99,0,2.999,0%
First Class,Consumer,Illinois,Central,Office Supplies,Paper,186.048,0.2,67.4424,0.1-0.4%
Second Class,Home Office,North Carolina,South,Technology,Phones,36.792,0.2,4.1391,0.1-0.4%
Second Class,Home Office,North Carolina,South,Furniture,Furnishings,18.624,0.2,6.2856,0.1-0.4%
Second Class,Consumer,Oklahoma,Central,Furniture,Furnishings,57.69,0,23.6529,0%
Second Class,Consumer,Oklahoma,Central,Office Supplies,Binders,42.81,0,20.1207,0%
Second Class,Consumer,Oklahoma,Central,Office Supplies,Paper,12.96,0,6.2208,0%
Second Class,Consumer,Oklahoma,Central,Furniture,Furnishings,821.88,0,213.6888,0%
Second Class,Consumer,Oklahoma,Central,Technology,Phones,104.85,0,28.3095,0%
Standard Class,Corporate,California,West,Furniture,Bookcases,424.9575,0.15,19.998,0.1-0.4%
Second Class,Corporate,Utah,West,Office Supplies,Binders,10.776,0.2,3.5022,0.1-0.4%
Second Class,Corporate,Utah,West,Office Supplies,Binders,11.784,0.2,4.2717,0.1-0.4%
Second Class,Corporate,Utah,West,Office Supplies,Paper,164.88,0,80.7912,0%
Second Class,Corporate,Utah,West,Furniture,Bookcases,1292.94,0,77.5764,0%
Second Class,Corporate,Utah,West,Office Supplies,Binders,25.584,0.2,8.9544,0.1-0.4%
Second Class,Corporate,Utah,West,Office Supplies,Storage,261.74,0,65.435,0%
Second Class,Corporate,Utah,West,Office Supplies,Labels,14.4,0,7.056,0%
Standard Class,Consumer,California,West,Office Supplies,Envelopes,10.86,0,5.1042,0%
Standard Class,Corporate,Arizona,West,Furniture,Chairs,883.84,0.2,99.432,0.1-0.4%
Standard Class,Corporate,New York,East,Technology,Phones,1979.89,0,494.9725,0%
Standard Class,Corporate,New York,East,Office Supplies,Envelopes,79.96,0,35.982,0%
First Class,Home Office,Missouri,Central,Office Supplies,Binders,8.76,0,4.2048,0%
First Class,Consumer,Tennessee,South,Office Supplies,Labels,3.984,0.2,1.2948,0.1-0.4%
First Class,Consumer,Tennessee,South,Furniture,Tables,370.62,0.4,-142.071,0.1-0.4%
First Class,Consumer,Tennessee,South,Office Supplies,Binders,2.742,0.7,-2.0108,0.5-0.8%
Same Day,Consumer,Texas,Central,Technology,Accessories,79.512,0.2,20.8719,0.1-0.4%
Same Day,Consumer,Texas,Central,Office Supplies,Paper,28.352,0.2,9.5688,0.1-0.4%
Standard Class,Home Office,California,West,Furniture,Chairs,40.784,0.2,4.5882,0.1-0.4%
Standard Class,Home Office,California,West,Office Supplies,Appliances,105.96,0,29.6688,0%
Second Class,Corporate,Massachusetts,East,Office Supplies,Paper,166.44,0,79.8912,0%
Second Class,Corporate,Massachusetts,East,Furniture,Chairs,785.88,0,212.1876,0%
Second Class,Corporate,Massachusetts,East,Office Supplies,Paper,26.2,0,12.838,0%
Second Class,Corporate,Massachusetts,East,Office Supplies,Storage,1325.85,0,238.653,0%
Same Day,Consumer,California,West,Office Supplies,Paper,166.44,0,79.8912,0%
Standard Class,Consumer,North Carolina,South,Office Supplies,Art,8.76,0.2,0.7665,0.1-0.4%
Standard Class,Consumer,North Carolina,South,Office Supplies,Appliances,43.584,0.2,4.3584,0.1-0.4%
Same Day,Consumer,Colorado,West,Office Supplies,Binders,11.088,0.7,-8.1312,0.5-0.8%
Same Day,Consumer,Colorado,West,Office Supplies,Binders,25.164,0.7,-16.776,0.5-0.8%
Standard Class,Home Office,Michigan,Central,Office Supplies,Binders,14.4,0,7.056,0%
Standard Class,Home Office,Michigan,Central,Technology,Accessories,619.95,0,111.591,0%
Standard Class,Home Office,Michigan,Central,Office Supplies,Binders,89.52,0,42.0744,0%
Standard Class,Home Office,Michigan,Central,Technology,Machines,350.973,0.1,152.0883,0.1-0.4%
Standard Class,Home Office,Michigan,Central,Technology,Phones,164.99,0,49.497,0%
Standard Class,Consumer,California,West,Office Supplies,Binders,312.552,0.2,101.5794,0.1-0.4%
Standard Class,Consumer,North Carolina,South,Office Supplies,Envelopes,95.952,0.2,29.985,0.1-0.4%
Standard Class,Consumer,North Carolina,South,Office Supplies,Binders,3.204,0.7,-2.4564,0.5-0.8%
First Class,Consumer,Illinois,Central,Office Supplies,Binders,3.98,0.8,-6.567,0.5-0.8%
First Class,Corporate,California,West,Office Supplies,Paper,15.7,0,7.065,0%
First Class,Consumer,Illinois,Central,Office Supplies,Art,5.248,0.2,1.64,0.1-0.4%
Standard Class,Consumer,Pennsylvania,East,Office Supplies,Binders,5.346,0.7,-4.455,0.5-0.8%
Standard Class,Consumer,Colorado,West,Office Supplies,Paper,15.48,0.2,5.6115,0.1-0.4%
Standard Class,Consumer,Colorado,West,Technology,Phones,108.576,0.2,8.1432,0.1-0.4%
Standard Class,Corporate,Washington,West,Furniture,Furnishings,109.9,0,37.366,0%
Standard Class,Consumer,Florida,South,Furniture,Furnishings,15.384,0.2,4.0383,0.1-0.4%
First Class,Consumer,Ohio,East,Office Supplies,Paper,30.352,0.2,10.6232,0.1-0.4%
Standard Class,Home Office,Florida,South,Technology,Machines,821.3,0.5,-16.426,0.5-0.8%
Standard Class,Home Office,Florida,South,Technology,Machines,22638.48,0.5,-1811.0784,0.5-0.8%
Standard Class,Home Office,Florida,South,Office Supplies,Paper,21.376,0.2,7.4816,0.1-0.4%
Standard Class,Home Office,Florida,South,Office Supplies,Art,8.016,0.2,1.002,0.1-0.4%
Standard Class,Home Office,Florida,South,Furniture,Furnishings,30.768,0.2,8.0766,0.1-0.4%
Standard Class,Home Office,Florida,South,Office Supplies,Fasteners,18.936,0.2,5.9175,0.1-0.4%
Standard Class,Home Office,Florida,South,Furniture,Furnishings,122.352,0.2,15.294,0.1-0.4%
Standard Class,Consumer,Maryland,East,Office Supplies,Paper,116.28,0,56.9772,0%
Second Class,Consumer,New York,East,Technology,Accessories,132.6,0,17.238,0%
Standard Class,Home Office,New Mexico,West,Office Supplies,Supplies,16.68,0,4.3368,0%
Standard Class,Home Office,New Mexico,West,Office Supplies,Paper,19.44,0,9.3312,0%
Standard Class,Home Office,New Mexico,West,Office Supplies,Paper,192.16,0,92.2368,0%
Standard Class,Consumer,California,West,Furniture,Furnishings,227.36,0,81.8496,0%
Standard Class,Consumer,California,West,Technology,Machines,1919.976,0.2,215.9973,0.1-0.4%
Standard Class,Consumer,Florida,South,Office Supplies,Binders,12.828,0.7,-8.9796,0.5-0.8%
First Class,Corporate,Ohio,East,Furniture,Furnishings,45.888,0.2,9.1776,0.1-0.4%
Second Class,Consumer,New York,East,Office Supplies,Art,60.12,0,22.2444,0%
Standard Class,Consumer,North Carolina,South,Technology,Phones,302.376,0.2,37.797,0.1-0.4%
Standard Class,Home Office,Washington,West,Office Supplies,Art,13.9,0,5.56,0%
Standard Class,Corporate,New York,East,Technology,Phones,129.98,0,62.3904,0%
Standard Class,Home Office,Georgia,South,Technology,Accessories,71.98,0,15.1158,0%
Standard Class,Consumer,New York,East,Technology,Phones,377.97,0,109.6113,0%
Standard Class,Consumer,California,West,Office Supplies,Storage,124.36,0,33.5772,0%
Second Class,Consumer,Texas,Central,Furniture,Furnishings,23.976,0.6,-14.3856,0.5-0.8%
Second Class,Corporate,North Carolina,South,Office Supplies,Fasteners,8.376,0.2,2.7222,0.1-0.4%
Second Class,Corporate,North Carolina,South,Office Supplies,Appliances,58.24,0.2,5.096,0.1-0.4%
Second Class,Consumer,Virginia,South,Office Supplies,Storage,81.2,0,12.18,0%
Standard Class,Consumer,California,West,Office Supplies,Labels,14.45,0,6.7915,0%
Standard Class,Consumer,California,West,Office Supplies,Binders,95.648,0.2,31.0856,0.1-0.4%
Standard Class,Consumer,Pennsylvania,East,Technology,Phones,359.97,0.4,-71.994,0.1-0.4%
Standard Class,Consumer,Pennsylvania,East,Furniture,Tables,350.352,0.4,-140.1408,0.1-0.4%
First Class,Consumer,Ohio,East,Office Supplies,Binders,1.641,0.7,-1.3128,0.5-0.8%
First Class,Consumer,Ohio,East,Technology,Phones,629.958,0.4,94.4937,0.1-0.4%
Standard Class,Consumer,Washington,West,Office Supplies,Art,6.63,0,1.7901,0%
Standard Class,Consumer,Washington,West,Technology,Accessories,799.96,0,343.9828,0%
Standard Class,Consumer,Washington,West,Furniture,Furnishings,107.53,0,21.506,0%
Standard Class,Consumer,New Jersey,East,Technology,Phones,73.98,0,19.9746,0%
Standard Class,Consumer,New Jersey,East,Office Supplies,Art,5.58,0,2.1762,0%
Second Class,Consumer,New Mexico,West,Office Supplies,Paper,49.12,0,23.0864,0%
Standard Class,Consumer,Delaware,East,Technology,Phones,377.97,0,94.4925,0%
Standard Class,Consumer,Delaware,East,Office Supplies,Paper,42.28,0,19.8716,0%
Standard Class,Consumer,Delaware,East,Furniture,Bookcases,299.97,0,56.9943,0%
Standard Class,Consumer,Delaware,East,Technology,Phones,89.98,0,43.1904,0%
First Class,Corporate,Alabama,South,Office Supplies,Supplies,477.24,0,9.5448,0%
First Class,Corporate,Alabama,South,Technology,Accessories,25.98,0,1.5588,0%
Second Class,Consumer,Ohio,East,Office Supplies,Envelopes,46.72,0.2,17.52,0.1-0.4%
Standard Class,Consumer,California,West,Furniture,Furnishings,35.34,0,13.4292,0%
Second Class,Corporate,California,West,Furniture,Furnishings,257.64,0,100.4796,0%
Second Class,Corporate,California,West,Technology,Phones,125.976,0.2,47.241,0.1-0.4%
